year,location,habitat_type,value,scenario,run,performance_metric
1980,Mokelumne River,juv rearing,15224.732386183936,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Mokelumne River,spawning,1175.0332302059617,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Paynes Creek,flood,142.95775280898877,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Paynes Creek,fry rearing,1739.8958652945112,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Paynes Creek,juv rearing,2386.5053513823154,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Paynes Creek,spawning,702.1410997208219,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,San Joaquin River,flood,171591.09281844378,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,San Joaquin River,fry rearing,16257.199491542655,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,San Joaquin River,juv rearing,23464.5282930205,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,San Joaquin River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stanislaus River,flood,3592.9079280000005,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stanislaus River,fry rearing,1412.906756102147,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stanislaus River,juv rearing,1253.9169266468039,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stanislaus River,spawning,1997.0557226215296,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stony Creek,flood,1868.5194495886615,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stony Creek,fry rearing,3710.5390039497906,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stony Creek,juv rearing,5278.743525129171,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Stony Creek,spawning,1469.7689762700322,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Sutter Bypass,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Sutter Bypass,fry rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Sutter Bypass,juv rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Sutter Bypass,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Thomes Creek,flood,1439.1734287423105,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Thomes Creek,fry rearing,4031.371287136544,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Thomes Creek,juv rearing,7130.696051979295,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Thomes Creek,spawning,2100.4490992237725,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Tuolumne River,flood,34219.037745270616,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Tuolumne River,fry rearing,16806.643006599945,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Tuolumne River,juv rearing,37548.60565821317,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Tuolumne River,spawning,4127.215651774207,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper Sacramento River,flood,2907.956465051696,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper Sacramento River,fry rearing,5815.917532894209,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper Sacramento River,juv rearing,8165.889531406484,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper Sacramento River,spawning,5369.660365743208,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper-mid Sacramento River,flood,54271.66789711886,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper-mid Sacramento River,fry rearing,6804.03976063978,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper-mid Sacramento River,juv rearing,12797.41223711664,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Upper-mid Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yolo Bypass,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yolo Bypass,fry rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yolo Bypass,juv rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yolo Bypass,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yuba River,flood,25258.7019675557,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yuba River,fry rearing,1997.874325073822,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yuba River,juv rearing,629.0048899862121,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1980,Yuba River,spawning,2602.2081080567364,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,American River,flood,57.931200000000004,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,American River,fry rearing,12198.154939820088,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,American River,juv rearing,37515.327279375866,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,American River,spawning,10930.722285856293,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Antelope Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Antelope Creek,fry rearing,4539.412411615029,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Antelope Creek,juv rearing,6583.980889064834,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Antelope Creek,spawning,1282.9892080494571,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Battle Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Battle Creek,fry rearing,314.1920505238764,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Battle Creek,juv rearing,901.7351649505605,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Battle Creek,spawning,35.88922773059892,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear Creek,fry rearing,3026.3424919987942,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear Creek,juv rearing,3495.3645192709946,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear Creek,spawning,945.7381034798555,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear River,flood,822.15972,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear River,fry rearing,4252.580778950039,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear River,juv rearing,5409.786427381211,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Bear River,spawning,585.0544078954222,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Big Chico Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Big Chico Creek,fry rearing,2186.419923096533,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Big Chico Creek,juv rearing,3099.0434826248957,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Big Chico Creek,spawning,810.3111851686733,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Butte Creek,flood,665.73495,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Butte Creek,fry rearing,1924.3072471698688,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Butte Creek,juv rearing,5757.342445162623,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Butte Creek,spawning,79.19210002301051,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Calaveras River,flood,68.19640941176472,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Calaveras River,fry rearing,951.7026188441389,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Calaveras River,juv rearing,2326.5047647569427,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Calaveras River,spawning,318.97260225278524,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Clear Creek,flood,87.39144000000002,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Clear Creek,fry rearing,1176.420355455953,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Clear Creek,juv rearing,980.4045178139799,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Clear Creek,spawning,1236.7245061867313,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cosumnes River,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cosumnes River,fry rearing,6017.094663389617,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cosumnes River,juv rearing,13073.839188808253,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cosumnes River,spawning,1119.2692330645166,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cottonwood Creek,flood,1158.5490545454547,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cottonwood Creek,fry rearing,6134.0587720710855,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cottonwood Creek,juv rearing,2824.2543918080696,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cottonwood Creek,spawning,67.3598825838618,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cow Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cow Creek,fry rearing,15742.812219406489,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cow Creek,juv rearing,9072.066354645096,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Cow Creek,spawning,4178.371861946286,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Deer Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Deer Creek,fry rearing,4846.930055096418,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Deer Creek,juv rearing,11006.052525252524,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Deer Creek,spawning,1956.586927456382,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Elder Creek,flood,421.29875769230784,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Elder Creek,fry rearing,1022.016636486569,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Elder Creek,juv rearing,1461.7200486321562,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Elder Creek,spawning,393.08249553307644,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Feather River,flood,35674.9149489278,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Feather River,fry rearing,20758.501395613337,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Feather River,juv rearing,79278.72254608272,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Feather River,spawning,3889.8374536132455,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
